#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2012-01-01 00:00:00+00:00 2012-12-31 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
HPN,2012-01-01 06:56,-73.7075,41.0669,42.98,37.04,79.38,300.00,8.00,M,30.02,1017.00,10.00,M,CLR,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,37.64,KHPN 010656Z 30008KT 10SM CLR 06/03 A3002 RMK AO2 SLP170 T00610028
HPN,2012-01-01 07:56,-73.7075,41.0669,44.06,37.04,76.16,310.00,7.00,M,30.02,1016.90,10.00,M,CLR,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,39.48,KHPN 010756Z 31007KT 10SM CLR 07/03 A3002 RMK AO2 SLP169 T00670028
HPN,2012-01-01 08:56,-73.7075,41.0669,39.02,35.06,85.55,0.00,0.00,M,30.02,1016.90,10.00,M,CLR,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,39.02,KHPN 010856Z 00000KT 10SM CLR 04/02 A3002 RMK AO2 SLP169 T00390017 50005
HPN,2012-01-01 09:56,-73.7075,41.0669,35.06,33.98,95.79,0.00,0.00,M,30.02,1017.20,10.00,M,CLR,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,35.06,KHPN 010956Z 00000KT 10SM CLR 02/01 A3002 RMK AO2 SLP172 T00170011
HPN,2012-01-01 10:56,-73.7075,41.0669,35.06,33.08,92.40,0.00,0.00,M,30.05,1018.20,10.00,M,CLR,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,35.06,KHPN 011056Z 00000KT 10SM CLR 02/01 A3005 RMK AO2 SLP182 T00170006
HPN,2012-01-01 11:56,-73.7075,41.0669,39.92,35.96,85.61,260.00,4.00,M,30.07,1018.70,10.00,M,CLR,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,36.67,KHPN 011156Z 26004KT 10SM CLR 04/02 A3007 RMK AO2 SLP187 T00440022 10067 20011 53018
HPN,2012-01-01 12:56,-73.7075,41.0669,37.94,35.06,89.25,290.00,5.00,M,30.08,1018.90,10.00,M,CLR,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,33.45,KHPN 011256Z 29005KT 10SM CLR 03/02 A3008 RMK AO2 SLP189 T00330017
HPN,2012-01-01 13:56,-73.7075,41.0669,42.98,37.94,82.24,310.00,5.00,M,30.08,1019.20,10.00,M,CLR,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,39.44,KHPN 011356Z 31005KT 10SM CLR 06/03 A3008 RMK AO2 SLP192 T00610033
HPN,2012-01-01 14:56,-73.7075,41.0669,46.94,37.04,68.28,M,3.00,M,30.08,1018.80,10.00,M,CLR,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,45.77,KHPN 011456Z VRB03KT 10SM CLR 08/03 A3008 RMK AO2 SLP188 T00830028 50002
HPN,2012-01-01 15:56,-73.7075,41.0669,48.92,37.04,63.39,180.00,5.00,M,30.03,1017.30,10.00,M,CLR,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,46.49,KHPN 011556Z 18005KT 10SM CLR 09/03 A3003 RMK AO2 SLP173 T00940028
HPN,2012-01-01 16:56,-73.7075,41.0669,50.00,37.94,63.08,160.00,9.00,M,29.99,1015.70,10.00,M,CLR,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,45.90,KHPN 011656Z 16009KT 10SM CLR 10/03 A2999 RMK AO2 SLP157 T01000033
HPN,2012-01-01 17:56,-73.7075,41.0669,50.00,35.96,58.34,180.00,13.00,M,29.94,1014.20,10.00,18.00,CLR,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,44.63,KHPN 011756Z 18013G18KT 10SM CLR 10/02 A2994 RMK AO2 SLP142 T01000022 10106 20028 56045
HPN,2012-01-01 18:56,-73.7075,41.0669,50.00,37.04,60.89,170.00,9.00,M,29.90,1012.80,10.00,18.00,FEW,   ,   ,   ,4000.00,M,M,M,M,M,M,M,M,M,M,45.90,KHPN 011856Z 17009G18KT 10SM FEW040 10/03 A2990 RMK AO2 SLP128 T01000028
HPN,2012-01-01 19:56,-73.7075,41.0669,48.02,37.94,67.92,170.00,9.00,M,29.87,1011.80,10.00,16.00,FEW,   ,   ,   ,5000.00,M,M,M,M,M,M,M,M,M,M,43.43,KHPN 011956Z 17009G16KT 10SM FEW050 09/03 A2987 RMK AO2 SLP118 T00890033
HPN,2012-01-01 20:56,-73.7075,41.0669,46.94,37.94,70.74,160.00,8.00,M,29.85,1011.30,10.00,17.00,CLR,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,42.52,KHPN 012056Z 16008G17KT 10SM CLR 08/03 A2985 RMK AO2 SLP113 T00830033 56030
HPN,2012-01-01 21:56,-73.7075,41.0669,46.04,37.94,73.18,160.00,8.00,M,29.84,1011.00,10.00,M,CLR,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,41.41,KHPN 012156Z 16008KT 10SM CLR 08/03 A2984 RMK AO2 SLP110 T00780033
HPN,2012-01-01 22:56,-73.7075,41.0669,46.04,39.92,79.07,150.00,8.00,M,29.81,1009.80,10.00,M,SCT,   ,   ,   ,12000.00,M,M,M,M,M,M,M,M,M,M,41.41,KHPN 012256Z 15008KT 10SM SCT120 08/04 A2981 RMK AO2 SLP098 T00780044
HPN,2012-01-01 23:56,-73.7075,41.0669,46.94,42.98,86.02,170.00,4.00,M,29.81,1009.80,9.00,M,BKN,OVC,   ,   ,2500.00,5500.00,M,M,-RA,M,M,M,M,M,M,44.87,KHPN 012356Z 17004KT 9SM -RA BKN025 OVC055 08/06 A2981 RMK AO2 RAB09 SLP098 P0000 60000 T00830061 10100 20072 55015
HPN,2012-01-02 00:03,-73.7075,41.0669,46.40,42.80,87.19,170.00,5.00,0.01,29.80,M,5.00,M,OVC,   ,   ,   ,1300.00,M,M,M,RA BR,M,M,M,M,M,M,43.50,KHPN 020003Z 17005KT 5SM RA BR OVC013 08/06 A2980 RMK AO2 P0001
HPN,2012-01-02 00:56,-73.7075,41.0669,46.94,44.06,89.65,140.00,6.00,0.04,29.75,1007.70,8.00,M,SCT,OVC,   ,   ,4900.00,6000.00,M,M,M,M,M,M,M,M,M,43.52,KHPN 020056Z 14006KT 8SM SCT049 OVC060 08/07 A2975 RMK AO2 RAE50 SLP077 P0004 T00830067
HPN,2012-01-02 01:56,-73.7075,41.0669,48.02,44.96,89.08,150.00,9.00,0.05,29.71,1006.40,9.00,M,OVC,   ,   ,   ,5500.00,M,M,M,-RA,M,M,M,M,M,M,43.43,KHPN 020156Z 15009KT 9SM -RA OVC055 09/07 A2971 RMK AO2 RAB12 SLP064 P0005 T00890072
HPN,2012-01-02 02:23,-73.7075,41.0669,48.20,44.60,87.28,M,5.00,0.02,29.71,M,7.00,M,BKN,OVC,   ,   ,900.00,4400.00,M,M,-RA,M,M,M,M,M,M,45.63,KHPN 020223Z VRB05KT 7SM -RA BKN009 OVC044 09/07 A2971 RMK AO2 P0002
